Date,1 MO,2 MO,3 MO,6 MO,1 YR,2 YR,3 YR,5 YR,7 YR,10 YR,20 YR,30 YR,log_returns,realized_volatility,realized_volatility_change
2013-02-08,-0.0,,-0.0,-0.0,0.0008999999999999983,-0.0,-0.0,-0.0009000000000000007,-0.0,-0.0,-0.0009000000000000208,-0.0,0.0,2.8284979696501373e-05,-1.8039605757802603e-06
2013-02-11,-0.0018000000000000004,,-0.001799999999999999,-0.0008999999999999995,-0.0008999999999999983,-0.0018000000000000015,-0.0009000000000000007,-0.0009000000000000007,-0.0009000000000000007,-0.0,0.0009000000000000208,0.0008999999999999808,0.0,2.8256332807713834e-05,-2.864688878753891e-08
2013-02-12,-0.0026999999999999997,,-0.0,-0.0,0.0008999999999999983,-0.0017999999999999967,-0.0008999999999999957,-0.0027000000000000023,-0.0026999999999999824,-0.0027000000000000023,-0.0027000000000000223,-0.0026999999999999824,-2.7000364506560378e-05,2.8579362140134637e-05,3.2302933242080365e-07
2013-02-13,-0.0008999999999999995,,-0.0009000000000000007,-0.0,-0.0008999999999999983,-0.0,-0.0027000000000000023,-0.003600000000000003,-0.004500000000000004,-0.0026999999999999824,-0.004499999999999985,-0.003600000000000003,-2.7000364506560378e-05,2.8208505582416446e-05,-3.708565577181916e-07
2013-02-14,-0.0009000000000000007,,-0.0008999999999999995,-0.0009000000000000007,-0.0009000000000000007,0.0017999999999999967,0.0018000000000000015,0.005400000000000005,0.005399999999999985,0.004499999999999985,0.006299999999999985,0.005400000000000005,4.499898753044673e-05,2.9863637864469254e-05,1.6551322820528079e-06
2013-02-15,0.0009000000000000007,,0.0008999999999999995,-0.0,-0.0009000000000000007,-0.0017999999999999967,-0.0,-0.0009000000000000007,-0.0008999999999999808,-0.0008999999999999808,-0.0008999999999999808,-0.0009000000000000208,-9.000040500279759e-06,2.9508927972029882e-05,-3.547098924393713e-07
2013-02-19,-0.0,,-0.001799999999999999,-0.0,-0.0,-0.0,-0.0018000000000000015,-0.0018000000000000015,-0.0027000000000000023,-0.0018000000000000015,-0.0027000000000000223,-0.0026999999999999824,-1.8000162001906516e-05,2.9288496764221553e-05,-2.2043120780832932e-07
2013-02-20,-0.0026999999999999997,,-0.0,-0.0,-0.0,0.0017999999999999967,0.0018000000000000015,0.0009000000000000007,0.0027000000000000023,0.0008999999999999808,0.0009000000000000208,0.0008999999999999808,8.999959500168733e-06,2.9408099477422265e-05,1.1960271320071174e-07
2013-02-21,-0.0,,-0.0009000000000000007,-0.0,0.0009000000000000007,0.0009000000000000007,0.0017999999999999967,0.0018000000000000015,0.0017999999999999815,0.0027000000000000023,0.0026999999999999824,0.0027000000000000223,2.6999635506560113e-05,2.9408099477422265e-05,0.0
2013-02-22,0.0008999999999999995,,-0.0,-0.0009000000000000007,-0.0,-0.0009000000000000007,-0.0,0.0018000000000000015,0.0018000000000000015,0.0018000000000000015,0.0018000000000000015,0.0018000000000000015,1.7999838002017484e-05,2.9408099477422265e-05,0.0
2013-02-25,0.0018000000000000004,,0.0009000000000000007,-0.0,-0.0,0.0018000000000000015,0.0027000000000000023,0.005399999999999995,0.008100000000000008,0.008100000000000008,0.007200000000000006,0.006299999999999985,8.099671967713398e-05,3.280998198397264e-05,3.4018825065503777e-06
2013-02-26,-0.0018000000000000004,,-0.0018000000000000015,-0.0,-0.0009000000000000007,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,3.26035947478062e-05,-2.0638723616644294e-07
2013-02-27,-0.0,,0.002700000000000001,0.0009000000000000007,-0.0,-0.0018000000000000015,0.0009000000000000007,-0.0,-0.0027000000000000023,-0.0027000000000000023,-0.0027000000000000223,-0.0026999999999999824,-2.7000364506560378e-05,3.296594699807216e-05,3.6235225026595767e-07
2013-02-28,0.0036,,-0.0,-0.0,-0.0,0.0018000000000000015,-0.0,0.0009000000000000007,0.0018000000000000015,0.0018000000000000015,0.0009000000000000208,0.0008999999999999808,1.7999838002017484e-05,3.320262322151077e-05,2.3667622343861614e-07
2013-03-01,-0.0,,-0.0,0.0009000000000000007,0.0009000000000000007,-0.0,0.0009000000000000007,0.0018000000000000015,0.0027000000000000023,0.0026999999999999824,0.0026999999999999824,0.003600000000000003,2.6999635506560113e-05,3.3465880002666995e-05,2.6325678115622116e-07
2013-03-04,-0.0,,-0.0,-0.0,-0.0,0.0009000000000000007,-0.0,-0.0009000000000000007,-0.0018000000000000015,-0.0017999999999999815,-0.0018000000000000015,-0.0018000000000000015,-1.8000162001906516e-05,2.7981727083500644e-05,-5.4841529191663504e-06
2013-03-05,-0.001799999999999999,,0.0026999999999999997,-0.0,0.0009000000000000007,-0.0009000000000000007,-0.0009000000000000007,-0.0009000000000000007,-0.0018000000000000015,-0.0018000000000000015,-0.0018000000000000015,-0.0018000000000000015,-1.8000162001906516e-05,2.7981727083500644e-05,0.0
2013-03-06,-0.0,,-0.0018000000000000004,-0.0,-0.0,-0.0,-0.0018000000000000015,-0.003600000000000003,-0.003600000000000003,-0.004500000000000004,-0.004499999999999985,-0.004499999999999985,-4.500101253033776e-05,2.9014472414614904e-05,1.0327453311142602e-06
2013-03-07,-0.0009000000000000007,,-0.0,0.0008999999999999995,-0.0,-0.0,-0.0018000000000000015,-0.0035999999999999934,-0.004500000000000004,-0.004500000000000004,-0.004499999999999985,-0.004500000000000023,-4.500101253033776e-05,3.0555555415487245e-05,1.5410830008723403e-06
