UST_amount,Agency MBS_amount,Non-Agency MBS_amount,Corporates_amount,Munis_amount,Agency_amount,ABS_amount,Total_amount,UST_percent_of_total,Agency MBS_percent_of_total,Non-Agency MBS_percent_of_total,Corporates_percent_of_total,Munis_percent_of_total,Agency_percent_of_total,ABS_percent_of_total,UST_year_over_year_change,Agency MBS_year_over_year_change,Non-Agency MBS_year_over_year_change,Corporates_year_over_year_change,Munis_year_over_year_change,Agency_year_over_year_change,ABS_year_over_year_change,Total_year_over_year_change,UST_quarter_over_quarter_change,Agency MBS_quarter_over_quarter_change,Non-Agency MBS_quarter_over_quarter_change,Corporates_quarter_over_quarter_change,Munis_quarter_over_quarter_change,Agency_quarter_over_quarter_change,ABS_quarter_over_quarter_change,Total_quarter_over_quarter_change,Year
546.5166346153845,221.8128195714285,4.04148002936508,24.69789625353279,11.17588,7.28926945587051,1.288576409920636,816.8225563355021,0.6690763255451874,0.2715556981757994,0.004947806592776168,0.03023655022987436,0.013682139301022942,0.008923932620779038,0.0015775475345606953,,,,,,,,,,,,,,,,,2013
505.02371698113205,177.40364546388884,3.6798439845238113,26.68619407705781,9.8725,6.046269518108731,1.506111251587302,730.2182812762985,0.6916065099033616,0.24294604779521153,0.005039375319516877,0.03654550257275788,0.013519929934847063,0.008280085110360248,0.0020625493639448104,-0.07592251544814088,-0.20021013300017565,-0.0894810916331763,0.08050474433589105,-0.11662437320372077,-0.1705246246262323,0.16881796065168087,-0.10602581232297859,,,,,,,,,2014
490.03217307692313,192.26234831111103,3.0671417761904767,27.939812427441723,8.61541,5.24914169766496,1.4392678115079365,728.6052951008393,0.6725619157202288,0.26387723175207206,0.004209606760771596,0.03834697965456708,0.011824522904143353,0.007204369406810963,0.0019753738014060703,-0.02968483142499423,0.08375646852334118,-0.1665022242546571,0.046976288442031944,-0.12733248923778173,-0.13183795695119982,-0.044381475809916915,-0.002208909605275866,,,,,,,,,2015
519.1004230769231,209.48373783571427,2.7850533805555577,30.02012557252056,11.05823,5.4041527389018205,1.3302637833333344,779.1819863879487,0.6662120430726527,0.2688508480628734,0.003574329783297764,0.038527745888588566,0.014192101708180652,0.006935674634822904,0.0017072568495840538,0.05931906433302081,0.08957234568224615,-0.09197109759474009,0.07445694742873821,0.28354077171022607,0.02953074048388049,-0.07573575070813077,0.06941576135554928,,,,,,,,,2016
505.1647307692308,208.73487855139447,2.297960085258964,30.93725781170128,10.75981,4.15219494763143,1.416963539840639,763.4637957050576,0.6616747691391338,0.2734050779167965,0.0030099136307266566,0.04052223299355115,0.014093412235826235,0.005438627176547232,0.0018559669074184133,-0.026845850413855787,-0.0035747848117312353,-0.1748954970476828,0.030550579709107906,-0.026986235591048513,-0.23166587840091313,0.06517486050026489,-0.02017268232259306,,,,,,,,,2017
547.7974423076923,218.95884798286858,1.6068679219123514,31.528739077692517,11.60975,3.4903680546788802,1.423157523904383,816.415172868749,0.670979007387653,0.26819546630115054,0.001968199483929336,0.03861851191092603,0.01422039960282125,0.004275236632869401,0.0017431786806504845,0.08439368178681694,0.04898064713682615,-0.3007415871928565,0.01911873604284109,0.07899210116163768,-0.15939205680361446,0.004371308004467389,0.06935676250999023,,,,,,,,,2018
593.5870384615384,248.9641613662698,1.4308599242063489,34.25681896463203,11.49593,4.1630830159092005,1.5303786269841273,895.4282703595401,0.6629085300413804,0.2780392015837333,0.0015979615247481717,0.03825746863104617,0.012838471132237152,0.00464926466330754,0.0017091024235471551,0.08358855412129973,0.1370363137174928,-0.10953482567287387,0.08652676785509983,-0.009803828678481508,0.19273467745859585,0.07534029176586654,0.09678053534104714,,,,,,,,,2019
603.1817358490565,291.12295194110686,1.8817482683794478,38.94901072512823,11.98184,5.3401731577342195,1.885501251778657,954.3429611931839,0.6320387537567397,0.30505066184710505,0.0019717736127343143,0.0408123832929323,0.012555067189911995,0.005595654156716968,0.0019757061438597256,0.016163926713065768,0.16933678463389001,0.31511704014157216,0.1369710294858546,0.04226800267572961,0.28274481611987445,0.23204886590343943,0.06579498635886027,,,,,,,,,2020
624.0649423076924,279.3132769337302,1.3796289829365078,36.98993754398707,8.822,3.22751213141253,1.386734742460317,955.184032642219,0.6533452413158658,0.29241828526079633,0.0014443593441571612,0.03872545633082447,0.009235916533902567,0.0033789427179646454,0.0014517984964890454,0.03462174866624568,-0.040565935899707806,-0.2668365869550461,-0.05029840667756047,-0.2637190948969441,-0.395616577200667,-0.2645272756238357,0.0008813094277799749,,,,,,,,,2021
614.3257692307692,240.60952903386445,1.3967102629482075,38.27454015747287,14.109,2.82931362218179,1.6336907235059759,913.1785530307425,0.6727334618097275,0.26348574244906103,0.0015295040146449724,0.04191353381049494,0.0154504285642427,0.0030983137008546674,0.0017890156509742046,-0.015606024976998811,-0.138567519327227,0.012381067825454561,0.03472843423858718,0.599297211516663,-0.1233763013174074,0.1780845128373394,-0.04397632097689219,,,,,,,,,2022
760.5372000000001,254.67738290160003,1.3368920588000008,40.513028000000006,13.162,3.91921561121452,1.7299573767999994,1075.8756759484147,0.7069006363858585,0.23671636843829075,0.0012426083131041074,0.037655863875058454,0.012233755529789562,0.0036428145917135088,0.0016079528661850201,0.2380030890651228,0.058467567449315805,-0.04282792626005416,0.058485035569789456,-0.06712027783684171,0.3852178070638437,0.05892587373418556,0.17816572933923802,,,,,,,,,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
