UST_amount,MBS_amount,Corporates_amount,Munis_amount,Agency_amount,ABS_amount,MMs_amount,Total_amount,UST_percent_of_total,MBS_percent_of_total,Corporates_percent_of_total,Munis_percent_of_total,Agency_percent_of_total,ABS_percent_of_total,MMs_percent_of_total,UST_year_over_year_change,MBS_year_over_year_change,Corporates_year_over_year_change,Munis_year_over_year_change,Agency_year_over_year_change,ABS_year_over_year_change,MMs_year_over_year_change,Total_year_over_year_change,UST_quarter_over_quarter_change,Corporates_quarter_over_quarter_change,Munis_quarter_over_quarter_change,Agency_quarter_over_quarter_change,MMs_quarter_over_quarter_change,Total_quarter_over_quarter_change,Year
11046.091,8838.0693,6713.976000000001,3947.741,2095.811248,1280.3415,952.3464952229999,34874.376543223,0.31673945443324475,0.25342587240365927,0.19251888250041566,0.11319889819699584,0.06009602050957011,0.036712957389020445,0.02730791456709398,,,,,,,,,,,,,,,2012
11854.435,8742.5897,7120.619999999999,3885.591,2058.291853224,1285.7299,951.631583486,35898.88903671,0.33021732198669773,0.2435337118945346,0.19835209921729033,0.1082370821009702,0.05733580922571733,0.03581531168513933,0.02650866388965037,0.07317919072004742,-0.010803219205352765,0.06056679380444585,-0.015743180720315775,-0.0179020867512778,0.004208564668098269,-0.0007506844836264737,0.029377227495873237,,,,,,,2013
12504.782,8841.996778214641,7464.521000000001,3849.458,2028.749936144,1349.3802,930.385882527,36969.27379688564,0.33824797502658616,0.2391715029836347,0.20191148576547982,0.10412587548106736,0.05487665100727258,0.03650004615761953,0.025166463578339952,0.054861070983138305,0.011370438465691857,0.04829649665338165,-0.009299228868915876,-0.014352637617317088,0.04950518767588741,-0.022325552585353514,0.02981665418896573,,,,,,,2014
13191.554999999998,8894.813340695579,7701.914000000001,3869.605,1995.3962486349997,1376.5868,941.49244144,37971.36283077057,0.3474079942506055,0.2342505687862105,0.20283480564881537,0.10190850976947861,0.052550029808727465,0.036253289252090405,0.02479480248407228,0.054920829487471234,0.005973374997270797,0.03180284441560288,0.005233723812547053,-0.016440511920554846,0.020162293770132456,0.011937583234640003,0.02710599725032603,,,,,,,2015
13908.241,9023.21192872067,7954.687,3918.703,1971.6921650040001,1391.7603,884.870209877,39053.16560360167,0.3561360720708724,0.2310494370753009,0.20368866075395384,0.1003427747644252,0.05048738391702006,0.03563757965555665,0.022658091762870893,0.05432915224929902,0.0144352200666924,0.03281950434658176,0.012688116745765976,-0.01187938668683719,0.011022552301097166,-0.060140930580809604,0.028489964335818962,,,,,,,2016
14468.780999999999,9304.524737348002,8306.078,3934.929,1934.670761358,1457.9101,965.932705591,40372.826304297,0.35837919522765843,0.23046503277274133,0.2057343703756494,0.0974647890722774,0.04792012198442711,0.03611117262416752,0.02392531794307878,0.040302724118743694,0.031176571142246923,0.044174082525182845,0.004140655722059128,-0.018776462321604348,0.04752959255986844,0.0916094753887895,0.033791388746566176,,,,,,,2017
15607.967000000002,9732.329779264977,8508.314,3889.708,1841.577463,1615.6286,995.9713562,42191.49619846498,0.3699315835253042,0.23067041124792018,0.20165945194210846,0.09219175308937057,0.04364807197965643,0.03829275435979396,0.023605973855846233,0.07873406888942491,0.04597817234015,0.0243479533902764,-0.011492202273535312,-0.048118419018569836,0.1081812246173477,0.031098077987349093,0.04504688080196195,,,,,,,2018
16673.326999999997,10229.477993191,8859.026,3899.431,1726.1536660000002,1663.1961190365641,1045.247527,44095.859305227554,0.37811547983652466,0.23198273385225304,0.20090380683316822,0.08843077471307433,0.03914548198395955,0.037717739153784735,0.023703983627235633,0.06825744826344105,0.0510821381109805,0.0412199173655321,0.0024996734973421475,-0.06267659075929943,0.029442112522992003,0.049475489925741245,0.045136183315344525,,,,,,,2019
20973.129000000004,11214.0487,9810.032000000001,3983.908,1688.596303,1535.4989230618703,986.896683101,50192.10960916288,0.4178570927445383,0.22342254165688238,0.19544968474903712,0.07937319293853137,0.03364266447752051,0.030592436441076697,0.019662386992413565,0.2578850639707364,0.0962483821231499,0.1073488214167111,0.021663929942599358,-0.021757832885777484,-0.07677819501446692,-0.05582490500262138,0.13824994908790944,,,,,,,2020
22584.039,12201.62818298232,10058.427000000001,4069.432,1433.292829,1585.251831498425,1014.1696392,52946.24048268075,0.4265466026315404,0.23045315534676342,0.18997433827790314,0.07685969698511742,0.027070719581475187,0.029940781763664163,0.019154705413536307,0.0768082816827187,0.08806627377873988,0.02532050863850399,0.02146736320216225,-0.15119272353399205,0.03240178660454185,0.02763506714127728,0.05487178950962224,,,,,,,2021
23934.45280527553,,10446.178,4031.25,,,1166.1017535,,,,,,,,,,,,,,,,,,,,,,,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
22584.039,12201.62818298232,10354.467,4083.822,1433.292829,1585.251831498425,1014.1696392,53256.67048268075,0.4240602875717589,0.2291098574581438,0.194425729324692,0.0766818872262785,0.026912925949174982,0.029766258707704125,0.019043053762247707,,,,,,,,,,,,,,,4Q21
23280.059065217232,,10443.296,4066.582,1466.8459440000001,,1102.0188734,40358.801882617234,0.5768273085243416,,0.2587612989695313,0.10076072158503546,0.036345131063758834,,0.02730553985733273,,,,,,,,,0.030819113676576304,0.008578809512841179,-0.004221535610513971,0.023409811534053304,0.08662183406446444,-0.24218315721141348,1Q22
23306.73509207125,,10391.579,4070.839,1619.225243,,1126.2948827,40514.67321777125,0.5752665205219536,,0.2564892710387669,0.10047813981168625,0.03996639030744416,,0.027799678320149082,,,,,,,,,0.0011458745349093302,-0.004952172187784432,0.0010468250732433848,0.10388227858780508,0.022028669277779578,0.0038621398030438403,2Q22
