UST_amount,MBS_amount,Corporates_amount,Munis_amount,Agency_amount,ABS_amount,Total_amount,UST_percent_of_total,MBS_percent_of_total,Corporates_percent_of_total,Munis_percent_of_total,Agency_percent_of_total,ABS_percent_of_total,UST_year_over_year_change,MBS_year_over_year_change,Corporates_year_over_year_change,Munis_year_over_year_change,Agency_year_over_year_change,ABS_year_over_year_change,Total_year_over_year_change,UST_quarter_over_quarter_change,MBS_quarter_over_quarter_change,Corporates_quarter_over_quarter_change,Munis_quarter_over_quarter_change,Agency_quarter_over_quarter_change,ABS_quarter_over_quarter_change,Total_quarter_over_quarter_change,Year
2140.0044921000003,2120.198167308,1424.7500000000002,335.4176,652.9198339999999,304.12180557444,6977.41189898244,0.3067046238752353,0.3038659889947449,0.20419462411381797,0.04807192191834282,0.09357622044575287,0.04358662065210626,,,,,,,,,,,,,,,2013
2215.4705999000003,1439.6437989800002,1480.8346999999999,339.12029999999993,558.68978,393.35481167373,6427.11399055373,0.34470690937739623,0.22399537352160254,0.23040429999786236,0.05276400893129062,0.0869270065570855,0.06120240161476277,0.035264462331078716,-0.32098620724311566,0.03936459027899608,0.011039074872636112,-0.14432101629187133,0.29341206208723647,-0.078868485391978,,,,,,,,2014
2122.5170976,1800.7036179695,1515.9087000000002,405.11260000000004,645.4762999999999,333.39740789387,6823.115723463371,0.3110773997722295,0.263912220010754,0.22217250321390333,0.059373549624388816,0.09460140002907061,0.048862927349653626,-0.0419565496848372,0.25079802326472267,0.02368529046489809,0.19459849498835702,0.15533937277320486,-0.15242575405329462,0.06161423828668133,,,,,,,,2015
2169.4434141,2044.1867511049998,1549.9742,451.9297,927.870876,325.41972866556995,7468.824669870569,0.2904665071134406,0.27369590818637124,0.20752585159116613,0.060508810954298616,0.12423251542415435,0.0435704067305692,0.022108804943461458,0.1352155516908744,0.022471999797877062,0.11556564767425148,0.43749797784984534,-0.023928438072438718,0.0946354968283376,,,,,,,,2016
2224.33946,2003.3803747729999,1677.3308,449.00159999999994,731.313675,550.2953261182001,7635.6612358912,0.29130934326218644,0.26237156323229344,0.21967066743555308,0.05880323735284132,0.09577607654494698,0.07206911217217878,0.025304207311059868,-0.019962156740298664,0.08216691606866733,-0.006479105046647948,-0.21183680411152384,0.6910324655937876,0.022337726937633695,,,,,,,,2017
2684.6574052,1872.952097968,1378.4125,346.7976,653.5880000000001,516.924613398,7453.332216565999,0.36019559134007206,0.251290569579754,0.18493909300544784,0.04652920196274054,0.08769071081352255,0.06935483329846319,0.20694590617926623,-0.0651041002734083,-0.17821070238500358,-0.22762502405336638,-0.10628226663476503,-0.06064146129606107,-0.023878615576627293,,,,,,,,2018
2935.4795172999998,2118.933939421,1417.3562,426.37460000000004,989.32896,434.65633511999994,8322.129551841,0.35273177364207464,0.25461439000937625,0.17031172023589275,0.051233833521094195,0.11887930292807604,0.05222897966348605,0.09342797766827693,0.13133376006779351,0.028252573159341043,0.22946237228862043,0.5136889906179427,-0.1591494700498206,0.11656495511416853,,,,,,,,2019
3895.8000113,4270.9707915359995,2274.9046000000003,485.2237,1251.319675,304.28345499999995,12482.502232836001,0.3121008863953459,0.3421566214745746,0.18224748192038948,0.03887231029076757,0.10024590035388302,0.0243767995650394,0.32714263149868117,1.0156224373389597,0.6050337946099931,0.13802205853725802,0.2648165833536298,-0.2999447369932079,0.4999168367998612,,,,,,,,2020
5139.1373681000005,4584.406616918,1961.2891000000002,483.37710000000004,692.94786,581.8907069999999,13443.048752018001,0.3822895730649299,0.3410243242798485,0.14589615318516058,0.03595740139880382,0.05154692754468946,0.04328562052656764,0.3191481475418725,0.07338748979579823,-0.13785874801079578,-0.003805667365382126,-0.4462263529900943,0.9123310762985783,0.07695143980469088,,,,,,,,2021
3826.8283678,2146.0889349010004,1369.7819,390.7575,845.9339749999999,302.806589,8882.197266701,0.4308425328658963,0.2416168961870056,0.1542165591317429,0.0439933372640725,0.09523926902314728,0.03409140552813544,-0.2553558907465392,-0.5318720361799472,-0.3015910301036192,-0.19160940805842896,0.22077579545450932,-0.4796160423988348,-0.33927210779715056,,,,,,,,2022
3517.9552149000006,1311.983321627419,1444.6994399999999,385.04734,1336.7330909999998,270.457623362472,8266.87603088989,0.4255483210047979,0.15870364049552466,0.17475760306574775,0.046577127630950024,0.16169748838680803,0.03271581941617171,-0.08071257010085531,-0.3886631162897538,0.05469304273913966,-0.014613052852472386,0.5801860789430995,-0.10683045486017462,-0.06927579036303588,,,,,,,,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
986.2345223000001,273.76761433097397,346.7517,80.07486,497.33932,68.62631498887602,2252.79433161985,0.4377827609282281,0.12152357207598442,0.15392070866525645,0.03554468283059952,0.22076552351869289,0.030462751981238757,,,,,,,,,,,,,,,YTD 2023
992.3438328,310.354608517717,627.57888,100.2305,318.21396699999997,104.06150514768899,2452.783293465406,0.4045786822846345,0.12653160568426475,0.2558639736628862,0.04086398511724601,0.12973586694257547,0.04242588630839297,0.006194581878712135,0.13364252114390274,0.8098797496883217,0.25170996240268173,-0.36016728578790036,0.5163498894637844,0.08877373270988143,,,,,,,,YTD 2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
1150.3023316000001,772.235234451,532.0449699999999,103.99391000000001,165.820865,94.10515699999999,2818.502468051,0.40812535899442953,0.27398778010827934,0.1887686727370191,0.03689686675063017,0.058832967818781244,0.03338835359086057,,,,,,,,,,,,,,,1Q22
